epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9310.03,0.70554,0.30813,0.99876,0.99883,0.99879,0.99494,0.89068,0.5908,0.2253,0.97378,0.005842,0.005842,0.005842
44,9530.52,0.70436,0.30755,0.99652,0.99883,0.99877,0.99495,0.89114,0.58898,0.22389,0.9727,0.005743,0.005743,0.005743
45,9743.35,0.70049,0.30531,0.99623,0.99879,0.99887,0.99495,0.89166,0.587,0.22293,0.9714,0.005644,0.005644,0.005644
46,9955.33,0.69887,0.30323,0.99423,0.99864,0.99906,0.99495,0.89222,0.58559,0.22206,0.97058,0.005545,0.005545,0.005545
47,10166.7,0.69993,0.30192,0.99602,0.99872,0.99901,0.99496,0.89193,0.58516,0.22121,0.96987,0.005446,0.005446,0.005446
48,10380.6,0.69374,0.3,0.98992,0.99876,0.99902,0.99497,0.89239,0.58343,0.21991,0.96862,0.005347,0.005347,0.005347
49,10593.3,0.69546,0.29964,0.99251,0.99879,0.99914,0.99497,0.8923,0.58237,0.21985,0.96794,0.005248,0.005248,0.005248
50,10807.4,0.69197,0.29914,0.98791,0.99891,0.99889,0.99496,0.89265,0.58098,0.21928,0.96701,0.005149,0.005149,0.005149
51,11021.8,0.6921,0.29802,0.99155,0.99882,0.999,0.99496,0.89299,0.57942,0.21854,0.96598,0.00505,0.00505,0.00505
52,11234.2,0.69095,0.29842,0.98957,0.99895,0.999,0.99495,0.8927,0.57834,0.21826,0.96539,0.004951,0.004951,0.004951
53,11446.6,0.69286,0.30068,0.9885,0.99889,0.999,0.99495,0.8932,0.57727,0.21776,0.96462,0.004852,0.004852,0.004852
54,11658.9,0.6907,0.29801,0.98887,0.99884,0.99897,0.99496,0.89329,0.57638,0.2174,0.96404,0.004753,0.004753,0.004753
55,11871.2,0.68804,0.29631,0.98619,0.99891,0.99895,0.99496,0.89327,0.57554,0.21703,0.96347,0.004654,0.004654,0.004654
56,12084,0.68547,0.29263,0.98653,0.99891,0.99896,0.99496,0.89373,0.57476,0.21666,0.96299,0.004555,0.004555,0.004555
57,12296.5,0.67922,0.29196,0.98439,0.9987,0.9991,0.99496,0.89364,0.57382,0.21631,0.9624,0.004456,0.004456,0.004456
58,12510.1,0.67891,0.29004,0.98144,0.99881,0.99891,0.99496,0.8941,0.57307,0.21589,0.96188,0.004357,0.004357,0.004357
59,12723.6,0.68112,0.29231,0.98452,0.99891,0.99888,0.99496,0.8946,0.57223,0.21547,0.96132,0.004258,0.004258,0.004258
60,12938.7,0.67802,0.29024,0.98595,0.99894,0.99892,0.99496,0.89459,0.57124,0.21507,0.96072,0.004159,0.004159,0.004159
61,13153.2,0.67788,0.29032,0.97841,0.99873,0.99906,0.99496,0.89514,0.57057,0.21471,0.96027,0.00406,0.00406,0.00406
